Paper title;Authors;Year of publication;Where it was published;Full abstract;Amount of citations
Software Architecture Best Practices for Enterprise Artificial Intelligence;Yann Martel, Arne Roßmann, E. Sultanow, O. Weiß, Matthias Wissel, Frank Pelzel, Matthias Seßler;2020;GI-Jahrestagung;Abstract not available;3
Best practices for artificial intelligence in life sciences research.;V. Makarov, T. Stouch, Brandon Allgood, Chris D. Willis, Nick Lynch;2020;Drug Discovery Today;We describe 11 best practices for the successful use of artificial intelligence and machine learning in pharmaceutical and biotechnology research at the data, technology and organizational management levels.;18
Artificial Social Intelligence: Hotel Rate Prediction;James J. Lee, Misuk Lee;2020;Advances in Intelligent Systems and Computing;Abstract not available;1
ModelOps: Cloud-Based Lifecycle Management for Reliable and Trusted AI;W. Hummer, Vinod Muthusamy, T. Rausch, Parijat Dube, K. E. Maghraoui, Anupama Murthi, Punleuk Oum;2019;2019 IEEE International Conference on Cloud Engineering (IC2E);This paper proposes a cloud-based framework and platform for end-to-end development and lifecycle management of artificial intelligence (AI) applications. We build on our previous work on platform-level support for cloud-managed deep learning services, and show how the principles of software lifecycle management can be leveraged and extended to enable automation, trust, reliability, traceability, quality control, and reproducibility of AI pipelines. Based on a discussion of use cases and current challenges, we describe a framework for managingAI application lifecycles and its key components. We also show concrete examples that illustrate how this framework enables managing and executing model training and continuous learning pipelines while infusing trusted AI principles.;79
Automated Trainability Evaluation for Smart Software Functions;I. Gerostathopoulos, Stefan Kugele, Christoph Segler, T. Bures, A. Knoll;2019;International Conference on Automated Software Engineering;More and more software-intensive systems employ machine learning and runtime optimization to improve their functionality by providing advanced features (e. g. personal driving assistants or recommendation engines). Such systems incorporate a number of smart software functions (SSFs) which gradually learn and adapt to the users' preferences. A key property of SSFs is their ability to learn based on data resulting from the interaction with the user (implicit and explicit feedback)-which we call trainability. Newly developed and enhanced features in a SSF must be evaluated based on their effect on the trainability of the system. Despite recent approaches for continuous deployment of machine learning systems, trainability evaluation is not yet part of continuous integration and deployment (CID) pipelines. In this paper, we describe the different facets of trainability for the development of SSFs. We also present our approach for automated trainability evaluation within an automotive CID framework which proposes to use automated quality gates for the continuous evaluation of machine learning models. The results from our indicative evaluation based on real data from eight BMW cars highlight the importance of continuous and rigorous trainability evaluation in the development of SSFs.;6
MLModelCI: An Automatic Cloud Platform for Efficient MLaaS;Huaizheng Zhang, Yuanming Li, Yizheng Huang, Yonggang Wen, Jianxiong Yin, K. Guan;2020;ACM Multimedia;MLModelCI provides multimedia researchers and developers with a one-stop platform for efficient machine learning (ML) services. The system leverages DevOps techniques to optimize, test, and manage models. It also containerizes and deploys these optimized and validated models as cloud services (MLaaS). In its essence, MLModelCI serves as a housekeeper to help users publish models. The models are first automatically converted to optimized formats for production purpose and then profiled under different settings (e.g., batch size and hardware). The profiling information can be used as guidelines for balancing the trade-off between performance and cost of MLaaS. Finally, the system dockerizes the models for ease of deployment to cloud environments. A key feature of MLModelCI is the implementation of a controller, which allows elastic evaluation which only utilizes idle workers while maintaining online service quality. Our system bridges the gap between current ML training and serving systems and thus free developers from manual and tedious work often associated with service deployment. We release the platform as an open-source project on GitHub under Apache 2.0 license, with the aim that it will facilitate and streamline more large-scale ML applications and research projects.;22
Using Continuous Integration to organize and monitor the annotation process of domain specific corpora;Marc Schreiber, Kai Barkschat, B. Kraft;2014;International Conference on Information, Communications and Signal Processing;Applications in the World Wide Web aggregate vast amounts of information from different data sources. The aggregation process is often implemented with Extract, Transform and Load (ETL) processes. Usually ETL processes require information for aggregation available in structured formats, e. g. XML or JSON. In many cases the information is provided in natural language text which makes the application of ETL processes impractical. Due to the fact that information is provided in natural language, Information Extraction (IE) systems have been evolved. They make use of Natural Language Processing (NLP) tools to derive meaning from natural language text. State-of-the-art NLP tools apply Machine Learning methods. These NLP tools perform on newspapers with good quality, but they drop accuracy in other domains. However, to improve the quality for IE systems in specific domains often NLP tools are trained on domain specific text which is a time consuming process. This paper introduces an approach using a Continuous Integration pipeline for organizing and monitoring the annotation process on domain specific corpora.;4
Ease. ML: A Lifecycle Management System for Machine Learning;L. A. Melgar, David Dao, Shaoduo Gan, Nezihe Merve Gürel, Nora Hollenstein, Jiawei Jiang, Bojan Karlas, Thomas Lemmin, Tian Li, Yang Li, S. Rao, Johannes Rausch, Cédric Renggli, Luka Rimanic, Maurice Weber, Shuai Zhang, Zhikuan Zhao, K. Schawinski, Wentao Wu, Ce Zhang;2021;Publication venue not available;Abstract not available;2
From a Data Science Driven Process to a Continuous Delivery Process for Machine Learning Systems;Lucy Ellen Lwakatare, I. Crnkovic, Ellinor Rånge, J. Bosch;2020;International Conference on Product Focused Software Process Improvement;Abstract not available;14
Building Continuous Integration Services for Machine Learning;Bojan Karlas, Matteo Interlandi, Cédric Renggli, Wentao Wu, Ce Zhang, Deepak Mukunthu Iyappan Babu, Jordan Edwards, Chris Lauren, Andy Xu, Markus Weimer;2020;Knowledge Discovery and Data Mining;Continuous integration (CI) has been a de facto standard for building industrial-strength software. Yet, there is little attention towards applying CI to the development of machine learning (ML) applications until the very recent effort on the theoretical side. In this paper, we take a step forward to bring the theory into practice. We develop the first CI system for ML, to the best of our knowledge, that integrates seamlessly with existing ML development tools. We present its design and implementation details.;24
Deploying a Cost-Effective and Production-Ready Deep News Recommender System in the Media Crisis Context;Jean-Philippe Corbeil, Florent Daudens;2020;ORSUM@RecSys;In the actual context of the media crisis, online media companies need cost-effective technological solutions to stay competitive against huge monopolistic software companies massively feeding content to users. News recommender systems are well-suited solutions, even if current commercial solutions are well above most online media’s budget. In this paper, we present a case study of our deployed deep news recommender system at Le Devoir , an independent french Canadian newspaper in the province of Que-bec. We expose the software architecture and the issues we have met with their solutions. Furthermore, we present four qualitative and quantitative analyses done with our custom monitoring dashboard: offline performances of our models, embedding space analysis, fake-user testing and high-traffic simulations. For a tiny fraction of the available commercial solutions’ prices, our current simple software architecture based on the Docker, the Kubernetes and open-source technologies in the cloud has demonstrated to be easily maintainable, scalable, and cost-effective. It also shows excellent offline performance and generates high-quality embeddings as well as relevant recommendations.;2
An IoT Beehive Network for Monitoring Urban Biodiversity: Vision, Method, and Architecture;Mirella Sangiovanni, G.P.J. Schouten, W. Heuvel;2020;Symposium and Summer School on Service-Oriented Computing;Abstract not available;4
A Cloud-Based Framework for Machine Learning Workloads and Applications;Álvaro López García, V. Tran, Andy S. Alic, M. Caballer, I. C. Plasencia, A. Costantini, Stefan Dlugolinsky, D. C. Duma, G. Donvito, J. Gomes, Ignacio Heredia Cachá, J. M. De Lucas, Keiichi Ito, V. Kozlov, Giang T. Nguyen, Pablo Orviz Fernández, Z. Šustr, P. Wolniewicz, M. Antonacci, W. zu Castell, M. David, M. Hardt, L. Lloret Iglesias, Germán Moltó, M. Plóciennik;2020;IEEE Access;In this paper we propose a distributed architecture to provide machine learning practitioners with a set of tools and cloud services that cover the whole machine learning development cycle: ranging from the models creation, training, validation and testing to the models serving as a service, sharing and publication. In such respect, the DEEP-Hybrid-DataCloud framework allows transparent access to existing e-Infrastructures, effectively exploiting distributed resources for the most compute-intensive tasks coming from the machine learning development cycle. Moreover, it provides scientists with a set of Cloud-oriented services to make their models publicly available, by adopting a serverless architecture and a DevOps approach, allowing an easy share, publish and deploy of the developed models.;55
A Development Platform of Intelligent Mobile APP Based on Edge Computing;Wei-chen Liu, Chiang Ting Yu, Tyng-Yeu Liang;2019;2019 Seventh International Symposium on Computing and Networking Workshops (CANDARW);In this paper, we propose a platform based on the architecture of edge computing for the development of intelligent mobile APP. The proposed platform has a number of advantages as follows. First, it supports static and dynamic visualization for reducing the programming and training effort of deep learning models. Second, it offers a runtime library for mobile APPs to exploit external deep learning models and make use of edge servers for the execution of the models. Third, it provides a friendly user interface to partition a deep learning model and execute the model by different work modes for performance optimization. Forth, it can dynamically redirect the requests of mobile APPs for achieving load balance and minimizing the response time of edge servers.;1
Summary: A Domain Specific-Model and DevOps Approach for Big Data Analytics Architectures (short paper);Camilo Castellanos, Carlos A. Varela, Darío Correal;2021;European Conference on Software Architecture;Big data analytics (BDA) applications use machine learning algorithms to extract insights from large, fast, and heterogeneous data sources. Software engineering challenges for BDA applications include ensuring performance levels of data-driven algorithms even in the presence of large data volume, velocity, and variety (3Vs). BDA software complexity frequently leads to delayed deployments and challenging performance assessments. This paper1 proposes a domain-specific modeling (DSM) and DevOps practices to design, deploy, andmonitor performancemetrics for BDA architectures. Our proposal includes a design process and framework to define architectural inputs, functional, and deployment views via integrated high-level abstractions to monitor the achievement of quality scenarios. We evaluate our approach with four use cases from different domains. Our results show shorter deployment and monitoring times and a higher gain factor per iteration than similar approaches.;0
Challenges and Experiences with MLOps for Performance Diagnostics in Hybrid-Cloud Enterprise Software Deployments;Amit Banerjee, Chien-Chia Chen, Chien-Chun Hung, Xiaobo Huang, Yifan Wang, Razvan Chevesaran;2020;USENIX Conference on Operational Machine Learning;This paper presents how VMware addressed the following challenges in operationalizing our ML-based performance di-agnostics solution in enterprise hybrid-cloud environments: data governance, model serving and deployment, dealing with system performance drifts, selecting model features, centralized model training pipeline, setting the appropriate alarm threshold, and explainability. We also share the lessons and experiences we learned over the past four years in deploying ML operations at scale for enterprise customers.;22
Sustainable MLOps: Trends and Challenges;D. Tamburri;2020;Symposium on Symbolic and Numeric Algorithms for Scientific Computing;Even simply through a GoogleTrends search it becomes clear that Machine-Learning Operations-or MLOps, for short-are climbing in interest from both a scientific and practical perspective. On the one hand, software components and middleware are proliferating to support all manners of MLOps, from AutoML (i.e., software which enables developers with limited machine-learning expertise to train high-quality models specific to their domain or data) to feature-specific ML engineering, e.g., Explainability and Interpretability. On the other hand, the more these platforms penetrate the day-to-day activities of software operations, the more the risk for AI Software becoming unsustainable from a social, technical, or organisational perspective. This paper offers a concise definition of MLOps and AI Software Sustainability and outlines key challenges in its pursuit.;74
CodeReef: an open platform for portable MLOps, reusable automation actions and reproducible benchmarking;G. Fursin, H. Guillou, Nicolas Essayan;2020;arXiv.org;We present CodeReef - an open platform to share all the components necessary to enable cross-platform MLOps (MLSysOps), i.e. automating the deployment of ML models across diverse systems in the most efficient way. We also introduce the CodeReef solution - a way to package and share models as non-virtualized, portable, customizable and reproducible archive files. Such ML packages include JSON meta description of models with all dependencies, Python APIs, CLI actions and portable workflows necessary to automatically build, benchmark, test and customize models across diverse platforms, AI frameworks, libraries, compilers and datasets. We demonstrate several CodeReef solutions to automatically build, run and measure object detection based on SSD-Mobilenets, TensorFlow and COCO dataset from the latest MLPerf inference benchmark across a wide range of platforms from Raspberry Pi, Android phones and IoT devices to data centers. Our long-term goal is to help researchers share their new techniques as production-ready packages along with research papers to participate in collaborative and reproducible benchmarking, compare the different ML/software/hardware stacks and select the most efficient ones on a Pareto frontier using online CodeReef dashboards.;16
Who Needs MLOps: What Data Scientists Seek to Accomplish and How Can MLOps Help?;Sasu Mäkinen, Henrik Skogström, Eero Laaksonen, T. Mikkonen;2021;Workshop on AI Engineering - Software Engineering for AI;"Following continuous software engineering practices, there has been an increasing interest in rapid deployment of machine learning (ML) features, called MLOps. In this paper, we study the importance of MLOps in the context of data scientists’ daily activities, based on a survey where we collected responses from 331 professionals from 63 different countries in ML domain, indicating on what they were working on in the last three months. Based on the results, up to 40% respondents say that they work with both models and infrastructure; the majority of the work revolves around relational and time series data; and the largest categories of problems to be solved are predictive analysis, time series data, and computer vision. The biggest perceived problems revolve around data, although there is some awareness of problems related to deploying models to production and related procedures. To hypothesise, we believe that organisations represented in the survey can be divided to three categories – (i) figuring out how to best use data; (ii) focusing on building the first models and getting them to production; and (iii) managing several models, their versions and training datasets, as well as retraining and frequent deployment of retrained models. In the results, the majority of respondents are in category (i) or (ii), focusing on data and models; however the benefits of MLOps only emerge in category (iii) when there is a need for frequent retraining and redeployment. Hence, setting up an MLOps pipeline is a natural step to take, when an organization takes the step from ML as a proof-of-concept to ML as a part of nominal activities.";129
MLOps approach in the cloud-native data pipeline design;István Pölöskei;2021;Acta Technica Jaurinensis;The data modeling process is challenging and involves hypotheses and trials. In the industry, a workflow has been constructed around data modeling. The offered modernized workflow expects to use of the cloud’s full abilities as cloud-native services. For a flourishing big data project, the organization should have analytics and information-technological know-how. MLOps approach concentrates on the modeling, eliminating the personnel and technology gap in the deployment. In this article, the paradigm will be verified with a case-study in the context of composing a data pipeline in the cloud-native ecosystem. Based on the analysis, the considered strategy is the recommended way for data pipeline design.;8
Ethics-by-design: the next frontier of industrialization;Aurélie Bourgais, Issam Ibnouhsein;2021;AI and Ethics;Abstract not available;5
Artificial Intelligence in Organizations: Current State and Future Opportunities;Hind Benbya, T. Davenport, S. Pachidi;2020;Social Science Research Network;Artificial intelligence (AI) is currently viewed as the most important and disruptive new technology for large organizations. However, the technology is still in a relatively early state in large enterprises, and largely absent from smaller ones other than technology startups. Surveys suggest that fewer than half of large organizations have meaningful AI initiatives underway, although the percentage is increasing over time. This essay titled “AI in organizations: current state and future opportunities” details current challenges and implications that might arise from AI applications, and the ways to overcome such challenges to realize the potential of this emerging technology. First, the paper provide a brief history of AI and an overview of AI typologies. We discuss current challenges, implications and future opportunities regarding AI. Finally, we summarize the special issue articles and highlight the contributions each makes.;114
Understanding Machine Learning Model Updates Based on Changes in Feature Attributions;Fan Yun, Toshiki Shibahara, Y. Ohsita, Daiki Chiba, Mitsuaki Akiyama;2020;Publication venue not available;: Machine learning operations (MLOps) are widely adopted in various real-world machine learning (ML) systems. To ensure ML model performance in such systems, it is crucial to minimize the inﬂuence of insu ﬃ cient data and concept drift. One simple and e ﬀ ective solution is to update models with newly added data. In MLOps, after updating a model, accuracy scores are usually used to validate the model. However, it is hard to obtain detailed information regarding the causes of performance changes. We therefore propose a method for understanding ML model updates by using a feature attribution method called Shapley additive explanations (SHAP), which explains the output of a ML model by assigning an importance value called a SHAP value to each feature. We calculate SHAP values using models before and after updates to investigate changes in SHAP values. By analyzing the extent of changes, we can identify the slight changes in models due to updates and the data related to the changes.;2
