APA;Name;Year;Title;Authors;Proceeding;Abstract;Link;Google Scholar Reference
Makarov, V. A., Stouch, T., Allgood, B., Willis, C. D., & Lynch, N. (2021). Best practices for artificial intelligence in life sciences research. Drug Discovery Today, 26(5), 1107-1110.;1_ml_machine_data_learning;2021;Best practices for artificial intelligence in life sciences research;Vladimir A Makarov, Terry Stouch, Brandon Allgood, Chris D Willis, Nick Lynch;Drug Discovery Today 26 (5), 1107-1110, 2021;We describe 11 best practices for the successful use of artificial intelligence and machine learning in pharmaceutical and biotechnology research at the data, technology and organizational management levels.;https://www.sciencedirect.com/science/article/pii/S1359644621000477;Cm2YWSAUklwJ
Lee, J. J., & Lee, M. (2020). Artificial Social Intelligence: Hotel Rate Prediction. In Advances in Information and Communication: Proceedings of the 2020 Future of Information and Communication Conference (FICC), Volume 2 (pp. 78-82). Springer International Publishing.;1_ml_machine_data_learning;2020;Artificial Social Intelligence: Hotel Rate Prediction;James J Lee, Misuk Lee;Advances in Information and Communication: Proceedings of the 2020 Future of Information and Communication Conference (FICC), Volume 2, 78-82, 2020;Artificial Intelligence has enabled new possibilities in today’s business domain from operational efficiency to smart decision making and even innovative product/service design. Still there are plenty of grey areas where human modelers are struggling to create optimal machine learning scenarios. This research is the first attempt to build machine level structuration where the human modelers’ continuous commitment to enhance machine learning models can be eliminated. In Artificial Social Intelligence Framework, those requirements are replaced at the machine level by adopting cloud native computing foundation (CNCF) with continuous integration and development. The suggested machine level structuration is demonstrated with hotel rate predictions.;https://link.springer.com/chapter/10.1007/978-3-030-39442-4_7;j9Y5fddqphIJ
Hummer, W., Muthusamy, V., Rausch, T., Dube, P., El Maghraoui, K., Murthi, A., & Oum, P. (2019, June). Modelops: Cloud-based lifecycle management for reliable and trusted ai. In 2019 IEEE International Conference on Cloud Engineering (IC2E) (pp. 113-120). IEEE.;1_ml_machine_data_learning;2019;Modelops: Cloud-based lifecycle management for reliable and trusted ai;Waldemar Hummer, Vinod Muthusamy, Thomas Rausch, Parijat Dube, Kaoutar El Maghraoui, Anupama Murthi, Punleuk Oum;2019 IEEE International Conference on Cloud Engineering (IC2E), 113-120, 2019;This paper proposes a cloud-based framework and platform for end-to-end development and lifecycle management of artificial intelligence (AI) applications. We build on our previous work on platform-level support for cloud-managed deep learning services, and show how the principles of software lifecycle management can be leveraged and extended to enable automation, trust, reliability, traceability, quality control, and reproducibility of AI pipelines. Based on a discussion of use cases and current challenges, we describe a framework for managingAI application lifecycles and its key components. We also show concrete examples that illustrate how this framework enables managing and executing model training and continuous learning pipelines while infusing trusted AI principles.;https://ieeexplore.ieee.org/abstract/document/8790192/;QmdGA7izEWUJ
Gerostathopoulos, I., Kugele, S., Segler, C., Bures, T., & Knoll, A. (2019, November). Automated trainability evaluation for smart software functions. In 2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE) (pp. 998-1001). IEEE.;1_ml_machine_data_learning;2019;Automated trainability evaluation for smart software functions;Ilias Gerostathopoulos, Stefan Kugele, Christoph Segler, Tomas Bures, Alois Knoll;2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE), 998-1001, 2019;More and more software-intensive systems employ machine learning and runtime optimization to improve their functionality by providing advanced features (e. g. personal driving assistants or recommendation engines). Such systems incorporate a number of smart software functions (SSFs) which gradually learn and adapt to the users' preferences. A key property of SSFs is their ability to learn based on data resulting from the interaction with the user (implicit and explicit feedback)-which we call trainability. Newly developed and enhanced features in a SSF must be evaluated based on their effect on the trainability of the system. Despite recent approaches for continuous deployment of machine learning systems, trainability evaluation is not yet part of continuous integration and deployment (CID) pipelines. In this paper, we describe the different facets of trainability for the development of SSFs. We also present our approach for automated trainability evaluation within an automotive CID framework which proposes to use automated quality gates for the continuous evaluation of machine learning models. The results from our indicative evaluation based on real data from eight BMW cars highlight the importance of continuous and rigorous trainability evaluation in the development of SSFs.;https://ieeexplore.ieee.org/abstract/document/8952173/;oHhuqenHI3cJ
Zhang, H., Li, Y., Huang, Y., Wen, Y., Yin, J., & Guan, K. (2020, October). Mlmodelci: An automatic cloud platform for efficient mlaas. In Proceedings of the 28th ACM International Conference on Multimedia (pp. 4453-4456).;1_ml_machine_data_learning;2020;Mlmodelci: An automatic cloud platform for efficient mlaas;Huaizheng Zhang, Yuanming Li, Yizheng Huang, Yonggang Wen, Jianxiong Yin, Kyle Guan;Proceedings of the 28th ACM International Conference on Multimedia, 4453-4456, 2020;MLModelCI provides multimedia researchers and developers with a one-stop platform for efficient machine learning (ML) services. The system leverages DevOps techniques to optimize, test, and manage models. It also containerizes and deploys these optimized and validated models as cloud services (MLaaS). In its essence, MLModelCI serves as a housekeeper to help users publish models. The models are first automatically converted to optimized formats for production purpose and then profiled under different settings (e.g., batch size and hardware). The profiling information can be used as guidelines for balancing the trade-off between performance and cost of MLaaS. Finally, the system dockerizes the models for ease of deployment to cloud environments. A key feature of MLModelCI is the implementation of a controller, which allows elastic evaluation which only utilizes idle workers while maintaining online service quality. Our system bridges the gap between current ML training and serving systems and thus free developers from manual and tedious work often associated with service deployment. We release the platform as an open-source project on GitHub under Apache 2.0 license, with the aim that it will facilitate and streamline more large-scale ML applications and research projects.;https://dl.acm.org/doi/abs/10.1145/3394171.3414535;I5Ck84iW1M4J
Schreiber, M., Barkschat, K., & Kraft, B. (2014, April). Using Continuous Integration to organize and monitor the annotation process of domain specific corpora. In 2014 5th International Conference on Information and Communication Systems (ICICS) (pp. 1-6). IEEE.;9_data_science_software_process;2014;Using Continuous Integration to organize and monitor the annotation process of domain specific corpora;Marc Schreiber, Kai Barkschat, Bodo Kraft;2014 5th International Conference on Information and Communication Systems (ICICS), 1-6, 2014;Applications in the World Wide Web aggregate vast amounts of information from different data sources. The aggregation process is often implemented with Extract, Transform and Load (ETL) processes. Usually ETL processes require information for aggregation available in structured formats, e. g. XML or JSON. In many cases the information is provided in natural language text which makes the application of ETL processes impractical. Due to the fact that information is provided in natural language, Information Extraction (IE) systems have been evolved. They make use of Natural Language Processing (NLP) tools to derive meaning from natural language text. State-of-the-art NLP tools apply Machine Learning methods. These NLP tools perform on newspapers with good quality, but they drop accuracy in other domains. However, to improve the quality for IE systems in specific domains often NLP tools are trained on domain specific text which is a time consuming process. This paper introduces an approach using a Continuous Integration pipeline for organizing and monitoring the annotation process on domain specific corpora.;https://ieeexplore.ieee.org/abstract/document/6841958/;_8HKkIJfZVoJ
Aguilar Melgar, L., Dao, D., Gan, S., Gürel, N. M., Hollenstein, N., Jiang, J., ... & Zhang, C. (2021). Ease. ml: a lifecycle management system for machine learning. In Proceedings of the Annual Conference on Innovative Data Systems Research (CIDR), 2021. CIDR.;1_ml_machine_data_learning;2021;Ease. ml: a lifecycle management system for machine learning;Leonel Aguilar Melgar, David Dao, Shaoduo Gan, Nezihe M Gürel, Nora Hollenstein, Jiawei Jiang, Bojan Karlaš, Thomas Lemmin, Tian Li, Yang Li, Susie Rao, Johannes Rausch, Cedric Renggli, Luka Rimanic, Maurice Weber, Shuai Zhang, Zhikuan Zhao, Kevin Schawinski, Wentao Wu, Ce Zhang;Proceedings of the Annual Conference on Innovative Data Systems Research (CIDR), 2021, 2021;"We present Ease.ML, a lifecycle management system for machine learning (ML). Unlike many existing works, which focus on improving individual steps during the lifecycle of ML application development, Ease.ML focuses on managing and automating the entire lifecycle itself. We present user scenarios that have motivated the development of Ease.ML, the eight-step Ease.ML process that covers the lifecycle of ML application development; the foundation of Ease.ML in terms of a probabilistic database model and its connection to information theory; and our lessons learned, which hopefully can inspire future research.";https://www.research-collection.ethz.ch/handle/20.500.11850/458755;8NC9L1I5UPIJ
Lwakatare, L. E., Crnkovic, I., Rånge, E., & Bosch, J. (2020). From a data science driven process to a continuous delivery process for machine learning systems. In Product-Focused Software Process Improvement: 21st International Conference, PROFES 2020, Turin, Italy, November 25–27, 2020, Proceedings 21 (pp. 185-201). Springer International Publishing.;1_ml_machine_data_learning;2020;From a data science driven process to a continuous delivery process for machine learning systems;Lucy Ellen Lwakatare, Ivica Crnkovic, Ellinor Rånge, Jan Bosch;Product-Focused Software Process Improvement: 21st International Conference, PROFES 2020, Turin, Italy, November 25–27, 2020, Proceedings 21, 185-201, 2020;Development of machine learning (ML) enabled applications in real-world settings is challenging and requires the consideration of sound software engineering (SE) principles and practices. A large body of knowledge exists on the use of modern approaches to developing traditional software components, but not ML components. Using exploratory case study approach, this study investigates the adoption and use of existing software development approaches, specifically continuous delivery (CD), to development of ML components. Research data was collected using a multivocal literature review (MLR) and focus group technique with ten practitioners involved in developing ML-enabled systems at a large telecommunication company. The results of our MLR show that companies do not outright apply CD to the development of ML components rather as a result of improving their development practices and infrastructure over time. A process improvement conceptual model, that includes the description of CD application to ML components is developed and initially validated in the study.;https://link.springer.com/chapter/10.1007/978-3-030-64148-1_12;TcFehlosagkJ
Renggli, C., Hubis, F. A., Karlaš, B., Schawinski, K., Wu, W., & Zhang, C. (2019). Ease. ml/ci and ease. ml/meter in action: Towards data management for statistical generalization. Proceedings of the VLDB Endowment, 12(12), 1962-1965.;1_ml_machine_data_learning;2019;Ease. ml/ci and ease. ml/meter in action: Towards data management for statistical generalization;Cedric Renggli, Frances Ann Hubis, Bojan KarlaÅ¡, Kevin Schawinski, Wentao Wu, Ce Zhang;Proceedings of the VLDB Endowment 12 (12), 1962-1965, 2019;"Developing machine learning (ML) applications is similar to developing traditional software --- it is often an iterative process in which developers navigate within a rich space of requirements, design decisions, implementations, empirical quality, and performance. In traditional software development, software engineering is the field of study which provides principled guidelines for this iterative process. However, as of today, the counterpart of ""software engineering for ML"" is largely missing --- developers of ML applications are left with powerful tools (e.g., TensorFlow and PyTorch) but little guidance regarding the development lifecycle itself.In this paper, we view the management of ML development life-cycles from a data management perspective. We demonstrate two closely related systems, ease.ml/ci and ease.ml/meter, that provide some ""principled guidelines"" for ML application development: ci is a continuous integration engine for ML models and meter is a ""profiler"" for controlling overfitting of ML models. Both systems focus on managing the ""statistical generalization power"" of datasets used for assessing the quality of ML applications, namely, the validation set and the test set. By demonstrating these two systems we hope to spawn further discussions within our community on building this new type of data management systems for statistical generalization.";https://dl.acm.org/doi/abs/10.14778/3352063.3352110;zEuMIZOu-wUJ
Karlaš, B., Interlandi, M., Renggli, C., Wu, W., Zhang, C., Mukunthu Iyappan Babu, D., ... & Weimer, M. (2020, August). Building continuous integration services for machine learning. In Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining (pp. 2407-2415).;1_ml_machine_data_learning;2020;Building continuous integration services for machine learning;Bojan KarlaÅ¡, Matteo Interlandi, Cedric Renggli, Wentao Wu, Ce Zhang, Deepak Mukunthu Iyappan Babu, Jordan Edwards, Chris Lauren, Andy Xu, Markus Weimer;Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining, 2407-2415, 2020;Continuous integration (CI) has been a de facto standard for building industrial-strength software. Yet, there is little attention towards applying CI to the development of machine learning (ML) applications until the very recent effort on the theoretical side. In this paper, we take a step forward to bring the theory into practice.We develop the first CI system for ML, to the best of our knowledge, that integrates seamlessly with existing ML development tools. We present its design and implementation details.;https://dl.acm.org/doi/abs/10.1145/3394486.3403290;Vjtmu7rvh0MJ
Corbeil, J. P., & Daudens, F. (2020). Deploying a Cost-Effective and Production-Ready Deep News Recommender System in the Media Crisis Context. In ORSUM@ RecSys.;1_ml_machine_data_learning;2020;Deploying a Cost-Effective and Production-Ready Deep News Recommender System in the Media Crisis Context.;Jean-Philippe Corbeil, Florent Daudens;ORSUM@ RecSys, 2020;In the actual context of the media crisis, online media companies need cost-effective technological solutions to stay competitive against huge monopolistic software companies massively feeding content to users. News recommender systems are well-suited solutions, even if current commercial solutions are well above most online media’s budget. In this paper, we present a case study of our deployed deep news recommender system at Le Devoir, an independent french Canadian newspaper in the province of Quebec. We expose the software architecture and the issues we have met with their solutions. Furthermore, we present four qualitative and quantitative analyses done with our custom monitoring dashboard: offline performances of our models, embedding space analysis, fake-user testing and high-traffic simulations. For a tiny fraction of the available commercial solutions’ prices, our current simple software architecture based on the Docker, the Kubernetes and open-source technologies in the cloud has demonstrated to be easily maintainable, scalable, and cost-effective. It also shows excellent offline performance and generates high-quality embeddings as well as relevant recommendations.;https://ceur-ws.org/Vol-2715/paper2.pdf;pTL2UHaSLEcJ
Sangiovanni, M., Schouten, G., & van den Heuvel, W. J. (2020). An IoT beehive network for monitoring urban biodiversity: vision, method, and architecture. In Service-Oriented Computing: 14th Symposium and Summer School on Service-Oriented Computing, SummerSOC 2020, Crete, Greece, September 13-19, 2020 14 (pp. 33-42). Springer International Publishing.;1_ml_machine_data_learning;2020;An IoT beehive network for monitoring urban biodiversity: vision, method, and architecture;Mirella Sangiovanni, Gerard Schouten, Willem-Jan van den Heuvel;Service-Oriented Computing: 14th Symposium and Summer School on Service-Oriented Computing, SummerSOC 2020, Crete, Greece, September 13-19, 2020 14, 33-42, 2020;Environmental sustainability issues have received global attention in recent decades, both at scientific and administrative levels. Despite the scrupulous studies and initiatives around such issues, they remain largely unresolved, and sometimes even unknown. A complete understanding of the quality of our living environment that surrounds us, especially urban places, where we spend most of our lives would help improve living conditions for both humans and other species present. The concept of Intelligent Beehives for urban biodiversity encapsulates and leverages biotic elements such as bio-indicators (e.g. bees), and pollination, with technologies like AI and IoT instrumentation. Together they comprise a smart service that shapes the backbone of a real-time, AI-enabled environmental dashboard. In this vision paper, we outline and discuss our solution architecture and prototypization for such servified intelligent beehives. We focus our discussion on the hives’ predictive modelling abilities that enable Machine-Learning service operations – or MLOps – for increasing the sustainability of urban biodiversity.;https://link.springer.com/chapter/10.1007/978-3-030-64846-6_3;YGSBmqro8-4J
García, Á. L., De Lucas, J. M., Antonacci, M., Zu Castell, W., David, M., Hardt, M., ... & Wolniewicz, P. (2020). A cloud-based framework for machine learning workloads and applications. IEEE access, 8, 18681-18692.;1_ml_machine_data_learning;2020;A cloud-based framework for machine learning workloads and applications;Álvaro López García, Jesus Marco De Lucas, Marica Antonacci, Wolfgang Zu Castell, Mario David, Marcus Hardt, Lara Lloret Iglesias, Germán Moltó, Marcin Plociennik, Viet Tran, Andy S Alic, Miguel Caballer, Isabel Campos Plasencia, Alessandro Costantini, Stefan Dlugolinsky, Doina Cristina Duma, Giacinto Donvito, Jorge Gomes, Ignacio Heredia Cacha, Keiichi Ito, Valentin Y Kozlov, Giang Nguyen, Pablo Orviz Fernandez, Zděnek Šustr, Pawel Wolniewicz;IEEE access 8, 18681-18692, 2020;In this paper we propose a distributed architecture to provide machine learning practitioners with a set of tools and cloud services that cover the whole machine learning development cycle: ranging from the models creation, training, validation and testing to the models serving as a service, sharing and publication. In such respect, the DEEP-Hybrid-DataCloud framework allows transparent access to existing e-Infrastructures, effectively exploiting distributed resources for the most compute-intensive tasks coming from the machine learning development cycle. Moreover, it provides scientists with a set of Cloud-oriented services to make their models publicly available, by adopting a serverless architecture and a DevOps approach, allowing an easy share, publish and deploy of the developed models.;https://ieeexplore.ieee.org/abstract/document/8950411/;LeGHAGaDOKAJ
Liu, W. C., Chiang, Y. T., & Liang, T. Y. (2019, November). A development platform of intelligent mobile APP based on edge computing. In 2019 Seventh International Symposium on Computing and Networking Workshops (CANDARW) (pp. 235-241). IEEE.;7_edge_computing_deep_learning;2019;A development platform of intelligent mobile APP based on edge computing;Wei-Chen Liu, Yu Ting Chiang, Tyng-Yeu Liang;2019 Seventh International Symposium on Computing and Networking Workshops (CANDARW), 235-241, 2019;In this paper, we propose a platform based on the architecture of edge computing for the development of intelligent mobile APP. The proposed platform has a number of advantages as follows. First, it supports static and dynamic visualization for reducing the programming and training effort of deep learning models. Second, it offers a runtime library for mobile APPs to exploit external deep learning models and make use of edge servers for the execution of the models. Third, it provides a friendly user interface to partition a deep learning model and execute the model by different work modes for performance optimization. Forth, it can dynamically redirect the requests of mobile APPs for achieving load balance and minimizing the response time of edge servers.;https://ieeexplore.ieee.org/abstract/document/8951740/;s9SOmsHH1tMJ
